No,도메인,용어,설명,영문,약어,비고
1,,시큐어 셸,"네트워크를 통해 컴퓨터 간에 암호화된 안전한 연결을 설정하는 프로토콜. 원격 컴퓨터에 로그인하여 명령을 실행하거나 파일을 전송하는 등 안전하게 시스템을 제어할 수 있게 해 주며, TCP 포트 22번을 사용하고 데이터의 인증, 암호화, 무결성을 제공하여 통신을 보호한다. ",secure shell,ssh,
2,,텔넷,"TCP/IP 네트워크를 통해 원격 컴퓨터에 접속하고 명령을 실행할 수 있게 하는 텍스트 기반의 네트워크 프로토콜이자 프로그램. 원격 시스템의 명령줄 인터페이스에 접속할 수 있도록 가상 터미널 기능을 제공하며, 포트 번호 23번을 사용한다. 하지만, 데이터가 암호화되지 않고 평문으로 전송되기 때문에 보안 취약점이 있어 민감한 정보를 다룰 때는 사용하지 않으며, 네트워크 포트 상태 확인 등 보안에 민감하지 않은 작업에 주로 활용된다.",telnet,,
3,,파일 전송 통신 규약,"TCP/IP 네트워크를 통해 한 컴퓨터에서 다른 컴퓨터로 파일을 전송하기 위한 표준 통신 프로토콜. 이 프로토콜을 통해 클라이언트와 서버 간에 파일을 업로드하거나 다운로드할 수 있다. 서버에 파일을 업로드하거나 서버에서 파일을 다운로드하는 등 파일의 이동과 관리에 주로 사용되며, 웹사이트 주소, 사용자 계정, 비밀번호를 이용해 서버에 접속해 파일을 전송한다. 파일 전송을 위해 두 개의 연결(Command port, Data port)을 사용하며, FTP는 기본적으로 21번 포트에서 동작한다. ",file transfer protocol,ftp,
4,,시큐어 셸 파일 전송 통신 규약,"네트워크를 통해 파일을 안전하게 전송하는 데 사용되는 프로토콜이다. 암호화된 SSH(Secure Shell) 연결을 기반으로 데이터 전송과 파일 관리를 안전하게 수행할 수 있도록 지원하며, 기존의 FTP보다 보안성이 강화되어 데이터를 보호한다. ",ssh file transfer protocol,sftp,
5,,셸,"운영체제에서 커널과 이용자 사이에서 이용자의 명령을 해석하고 그 처리 결과를 반환하는, 인터페이스를 제공하는 시스템 프로그램이다. 셸(껍데기의 영어 단어)은 사용자와 운영 체제의 내부(커널) 사이의 인터페이스를 감싸는 층이기 때문에 그러한 이름이 붙었다. 셸은 일반적으로 명령 줄과 그래픽 형의 두 종류로 분류된다. 명령 줄 셸은 운영 체제 상에서 명령 줄 인터페이스(CLI)를 제공하는 반면에, 그래픽 셸은 그래픽 사용자 인터페이스(GUI)를 제공한다.",shell,,
6,,확장 가능,"시스템이나 서비스가 증가하는 작업량, 사용자 수, 데이터 양 등을 효율적으로 처리할 수 있도록 확장하는 것이 가능함을 의미하는 단어",scalable,,
7,,프로토콜,"컴퓨터 네트워크에서 데이터를 주고받기 위한 규칙과 절차의 집합. 이 규칙은 데이터를 어떻게 포맷하고, 전송하고, 수신할지를 정의한다. ssh, telnet, ftp, sftp는 각기 다른 목적을 위해 만들어진 프로토콜이다. ssh는 원격 시스템에 안전하게 접속하여 터미널을 사용하거나 명령을 실행하는 데 사용되는 프로토콜, telnet은 원격 시스템에 접속하여 터미널을 사용하는 데 사용되는 프로토콜, ftp와 sftp는 파일 전송을 위해 사용되는 프로토콜이다.",protocol,,통신 규약
8,,변환기,"호환되지 않는 두 개체 사이를 연결하여 서로 통신할 수 있도록 만들어 주는 중간 매개체를 의미한다. 특정 인터페이스에 맞게 다른 인터페이스를 변환해 주는 디자인 패턴을 의미하며,  본 프로그램에서는 터미널 프로그램의 내부 인터페이스와 외부 프로토콜 간의 변환 및 연결 역할을 수행한다는 의미를 가진다.",adapter,,
9,,플러그인,"플러그인은 주 프로그램에 새로운 기능을 추가하기 위해 독립적으로 개발되는 소프트웨어 컴포넌트다. 사용자가 필요에 따라 추가하거나 제거할 수 있어, 프로그램의 유연성과 확장성을 높여준다. 터미널 프로그램에 다양한 프로토콜을 지원하고 싶을 때, 각 프로토콜을 별도의 플러그인으로 만들 수 있다.",plugin,,
10,,아키텍처,특정 시스템의 구성 원리와 동작 방식을 나타내는 설계의 원칙. 설계도나 청사진을 의미한다.,architecture,,
11,,컴포넌트,,component,,
12,,모듈,,module,,
13,,세션,"컴퓨터 과학에서, 특히 네트워크 분야에서 반영구적이고 상호작용적인 정보 교환을 전제하는 둘 이상의 통신 장치나 컴퓨터와 사용자 간의 대화나 송수신 연결상태를 의미하는 보안적인 다이얼로그(dialogue) 및 시간대를 가리킨다. 여기서는 두 엔티티(예: 터미널 ↔ 원격 서버) 사이에 맺어진 연결의 “상태와 컨텍스트, 수명주기, 자원""을 나타내는 단위를 가진다. 사용자 관점에서는 탭 하나가 세션 하나일 수 있으며 (예: PuTTY, SecureCRT, VS Code Remote Terminal) 동시에 여러 세션을 열어두고 전환하거나, 워크스페이스에 묶어 관리할 수 있다.",session,,
14,,세션 상태,"세션의 두 엔티티 간 연결의 상태를 의미한다. 생성(created), 연결 중(connecting), 연결됨(established), 종료됨(closed), 재연결중(reconnecting) 과 같은 상태가 있을 수 있다.",session state,,
15,,세션 생명주기,"세션이 만들어지고, 연결되고, 종료되어 소멸하는 세션의 일련의 상태 변화를 지칭한다.",session lifecycle,,
16,,세션 컨텍스트,"세션이 어떤 연결 정보를 가지고 연결했는지, 세션을 이루는 두 통신 주체는 누구인지, 어떤 인증 수단을 썼는지, 어떤 환경 변수를 가지고 있는지 등의 세션의 맥락 정보를 의미한다.",session context,,맥락 정보
17,,세션 자원,"세션을 구성하는 네트워크 소켓, 암호화 채널, 프로세스 핸들(PTY), 로깅 핸들러 등의 자원. 세션이 종료되면 이 자원들을 반드시 정리해야 한다. (메모리/보안 상 이유)",session resource,,
18,,연결,"세션을 이루는 두 객체(인스턴스) 사이의 물리적인 통신 통로가 이어진 상태, 또는 통신 통로를 잇는 작업을 지칭한다. 예를 들어 TCP/IP 프로토콜 스택에서는 IP 주소와 포트 번호를 기반으로 두 호스트 간에 데이터가 오갈 수 있는 통신 통로를 설정하는 것을 의미한다. 세션에서 두 객체(인스턴스) 간 상호작용을 하기 위해서는 연결을 통해 연결됨 상태가 되어야 한다.",connection,,
19,,템플릿,"다른 객체의 기반이 되거나 파생되는 일반화된 모델 이나 패턴, 기반이 되는파일이나 문서.",template,,
20,,연결 템플릿,"세션을 만들기 위해 클라이언트가 서버와 연결을 하기 위해 알아야 하는 정보들을 담은 템플릿. 호스트 IP, 통신 Port, 계정, 키 등이 있다.",connection template,,
21,,연결 그룹,하나 이상의 연결 템플릿들을 모아놓은 그룹.,connection group,,
22,,보안,"세션을 만들기 위한 연결 구성 작업이나 세션이 만들어진 뒤 통신을 하는 중에 일어나는 여러 작업에서 이루어지는 보안 작업을 총칭한다. 연결을 만들기 위해 클라이언트가 자신이 서버와 통신할 수 있는 충분한 자격이나 권한을 가졌다는 것을 증명하는 자격 증명이나, 클라이언트의 자격 증명 정보를 안전하게 보관하는 것, 또는 세션을 이루는 두 인스턴스가 각자 메시지를 발송하고 받을 때 메시지의 내용을 타인이 볼 수 없게 암호화 하는 작업 등이 포함될 수 있다.",security,,
23,,자격 증명,"사용자(클라이언트)가 자신의 신원을 증명하기 위해 서버에게 제출하는 정보. 자신의 정보나 증명서(예: 아이디와 비밀번호, 토큰, 인증서)등이 자격 증명에 해당하며, 클라이언트는 이를 서버에게 제출하는 행위를 통해 자신이 연결이나 통신을 하기 위한 적법한 자격이 있음을 증명한다.",credential,,
24,,인증,자격증명을 통해 사용자가 주장하는 신원이 진짜인지 확인하는 과정,authentication,,
25,,비밀정보,"시스템이 안전하게 보호·관리해야 하는 민감한 인증/보안 데이터. 계정정보, 비밀번호, 키, 토큰, 인증서 등이 이에 해당한다.",secret,,
26,,비밀정보 관리자,"비밀정보를 안전하게 secret store 혹은 secret repository에 보관할 수 있도록 요청하거나, 비밀정보를 안전하게 불러오거나, 불러온 비밀정보를 연결과 통신 작업에서 안전하게 사용할 수 있도록 제공하는 역할을 한다.",secret manager,,
27,,호스트,"네트워크 호스트를 의미하며, 여기서는 클라이언트가 접속할 서버를 뜻한다.",host,,
28,,검증,"정보가 사전에 정의된 명세, 규칙, 요구사항 혹은 현재의 사실과 일치하는지 확인하는 과정",verification,,
29,,호스트 검증,"클라이언트가 연결하려는 호스트가 이전에 이미 알고 있는 호스트와 일치하는지, 혹은 자신이 연결하려는 호스트가 진짜 맞는지를 확인하는 과정",host verification,,
30,,암호화,세션을 이루는 두 객체(인스턴스) 및 그에 준하는 자격을 가진 이가 아닌 제 3자가 세션과 관련된 여러 정보 혹은 통신 내용을 알아볼 수 없도록 정보(평문)을 특수한 알고리즘 등을 통해 읽을 수 없도록 하는 과정. 충분한 자격을 가진 이가 암호화된 정보를 읽으려면 미리 계약된 규칙 혹은 알고리즘에 따라 해독(복호화)를 거친다.,encryption,,
31,,계정,,account,,
32,,생성 조회 갱신 삭제,"컴퓨터 소프트웨어의 기본적인 4가지 데이터 처리 기능. 생성(Create), 읽기(Read), 갱신(Update), 삭제(Delete)가 그것이다. 이는 영구적인 저장소에 데이터를 저장, 조회, 수정, 삭제하는 작업을 통칭하는 용어로, 대부분의 애플리케이션에서 필수적인 기능이다.",create retrieve update delete,crud,
,,,,repository,repo,
,,,,event bus,,
,,,,command bus,,
,,,,log,,
,,,,logging,,
,,,,template,,
,,설정,,,,
,,형식,,schema,,
,,,,migration,,
,,정의,,,,
,,,,migration,,
